Emotion|Cleaned lyrics
Autumnal|waiting sun walked home alone know waiting fall never made amends sake one else simple reason waiting fall lost lost walkin road looking friend handout somethin might ease soul kept spirit high entertaining passer wrapped confusion waiting fall lost lost walkin road looking friend handout somethin might ease soul lost lost walkin road walkin road walkin road walkin road
Poignant|oh breaking hard really love nothing try spare feeling tell make easy make easy cause breaking hard way hold compare caress word consolation make miss less darling goodbye know gonna cry run start cry make easy make easy cause breaking hard oh baby hard make easy make easy cause breaking hard
Volatile|school year two know seen daddy car thinking go far back east type crawl playing ethnicky jazz parade snazz five grand stereo braggin know nigger feel cold slum got much soul time taste fear right guard help brace dear brace dear holiday cambodia tough kid life holiday cambodia forget pack wife star belly snitch suck like leech want everyone act like kiss as bitch get rich bos get richer well work harder gun back bowl rice day slave soldier till starve head skewered stake go people one go get thing done need son need son holiday cambodia people dressed black holiday cambodia kiss as crack pol pot pol pot pol pot pol pot holiday cambodia told holiday cambodia slum got much soul pol pot
Brooding|must something eat maybe find another lover fly los angeles find asshole brother mickey mouse grown cow dave sale kissy kiss rear view bored blame try see way everything zen everything zen think everything zen everything zen think raindogs howl century million dollar steak search demi god fake saint sex violence sex violence sex violence sex violence try see way everything zen everything zen think everything zen everything zen think everything zen everything zen believe elvis dead believe elvis dead believe elvis dead believe elvis elvis sex violence sex violence sex violence sex violence try see way everything zen everything zen think try see way everything zen everything zen think zen zen think think think
Wry|shirley quite exciting sleeping new room shirley reason get bed noon shirley know sat fire escape talking shirley say running walking sometimes close like dream lie think england even know team shirley sexual politics left muddle shirley joined ideological cuddle celebrating love pint beer new tattoo noticed yet impressionable cement wet politics pregnancy debated empty glass love evening class shirley really know make young man angry shirley get night without mentioning family people church agree much career trying handle parked car whoop go another year whoop go another pint beer summer year living icecream chocolate kiss would leaf fall tree old man missus shirley give greeting new brunette
Poignant|sitting railway station got ticket destination tour one night stand suitcase guitar hand every stop neatly planned poet one man band homeward bound wish homeward bound home thought escaping home music playing home love lie waiting silently every day endless stream cigarette magazine town look movie factory every stranger face see reminds long homeward bound wish homeward bound home thought escaping home music playing home love lie waiting silently tonight sing song play game pretend word come back shade mediocrity like emptiness harmony need someone comfort homeward bound wish homeward bound home thought escaping home music playing home love lie waiting silently silently
Tense - Anxious|oh time fly crystal clear eye cold coal ending diamond eye oh come child crossbones style oh come child come rescue cause seen unbelievable thing hater diamond still cause seen unbelievable thing hater diamond oh come child crossbones style oh come child come rescue cause seen unbelievable thing hater diamond still still oh time fly crystal clear eye cold coal ending diamond eye oh come child crossbones style oh come child come rescue cause seen unbelievable thing
Wistful|old woman named mother old man another child grown old dream lightnin thunder desire old house would burned long time ago make angel fly montgomery make poster old rodeo give one thing hold onto believe livin hard way go young girl cowboy much look free ramblin man long time matter try year flow like broken dam make angel fly montgomery make poster old rodeo give one thing hold onto believe livin hard way go fly kitchen hear em buzzin done nothin since woke today hell person go work mornin come home evenin nothin say make angel fly montgomery make poster old rodeo give one thing hold onto believe livin hard way go
Silly|jackie punk judy runt went berlin joined ice capades oh know oh know perhaps die oh yeah x4 second verse first repeat first verse third verse different first jackie punk judy runt went frisco joined sla oh know oh know perhaps die oh yeah x4
Fun|comin ya dusty road good lovin got truck load get got something dont worry cause im coming soul man soul man soul man soul man got got hard way ill make better every day honey dont fret cause aint seen nothing yet soul man soul man play steve soul man soul man listen brought side street learned love could eat educated good stock start lovin stop soul man soul man soul man soul man well grab rope ill pull give hope boyfriend yeah yeah yeah yeah soul man soul man soul man soul man soul man soul man
Tense - Anxious|bass ooh white white ooh white white ooh white white ooh white line vision dream passion blowin mind think high price strange reaction u unwind see something like phenomenon baby tellin body come along white line blow away blow rock blow ticket ride white line highway tell friend go way pay toll sell soul pound pound cost gold longer stay pay white line go long way either nose vein nothin gain except killin brain freeze rock freeze rock freeze rock freeze rock blow ahhh higher baby ahhh get higher baby ahhh get higher baby ever come freebase rang dang diggedy dang di dang rang dang diggedy dang di dang rang dang diggedy dang di dang diggedy dang di dang diggedy dang di dang pipeline pure driven snow connected mind havin fun baby high price getting kinda low cause make feel nice need one one baby let blow mind away baby go little hideaway cause white line blow away blow rock blow million magic crystal painted pure white multi million dollar almost overnight twice sweet sugar twice bitter salt get hooked baby nobody else fault freeze rock freeze rock freeze rock freeze rock raah blow ahhh higher baby ahhh get higher baby ahhh get higher baby ever come freebase get high get high baby turn really turn cause gotta come temperature risin thrill gone want go street kid get arrested gonna time got three year commit crime businessman caught 24 kilo bail jail way go raah kane sugar kane sugar kane athlete rejected governerds corrected gangster thug smuggler thoroughly respected money get divided woman get excited broke joke hard hell fight buy freeze haha ha ha rock freeze rock freeze rock freeze rock raah blow ahhh get higher baby ahhh get higher girl ahhh get higher baby c mon raah white line vision dream passion blowin mind think high price strange reaction u unwind see something like phenomenon baby tellin body come along white line blow away little jack horner sitting corner shoe clothes aint funny took money sniffed nose hey man wanna cop blow sure got dust flake rock got china white mother pearl ivory flake need well yeah well let check man let get freeze go ahead man stuff got kill ya yeah man th raw wuh freeze haha ha ha rock freeze rock freeze rock freeze rock freeze rock freeze rock
Sweet|goin chapel gonna get arried goin chapel gonna get arried gee really love gonna get arried goin chapel love spring th e e sky blue whoa oh oh bird sing knew today day say never lonely anymore goin chapel gonna get arried goin chapel gonna get arried gee really love gonna get arried goin chapel love bell ring e e sun shine whoa oh oh mine love end time never lonely anymore goin chapel gonna get arried goin chapel gonna get arried gee really love gonna get arried goin chapel love yeah yeah yeah yeah goin chapel love yeah yeah yeah yeah fade goin
Humorous|see want around see hand pointing door foot fail could anyone stay anyone could see time go away time take powder open eye feel like leg paralyzed foot fail begging please make fool foot fail please keep foot fail stop pretending gone sleep foot fail begging please make fool see thing piled hall turn around new picture wall foot fail last one know anyone could see time u go time hit highway nothing left feel like shoe crazy glued
Tense - Anxious|wake got another day get got another man see got call telephone got find piece paper sit got another letter write think got get letter right ringing telephone oh got write little later day tomorrow one two three go time got time tick tick tickin head time got time tick tick tickin head time got time tick tick tickin head tickin head tickin head tickin head tell today shut get way someone asked time know know gotta go time trying get watch repaired time never got thing wear hear ringin telephone hear ringin head thing tomorrow one two three go time got time tick tick tickin head time got time tick tick tickin head time got time tick tick tickin head tickin head tickin head tickin head time got time tick tick tickin head time got time tick tick tickin head time got time tick tick tickin head tickin head tickin head tickin head
Visceral|got something say killed baby today matter much long dead well got something say raped mother today matter much long spread sweet lovely death waiting breath come sweet death one last caress go sweet lovely death waiting breath come sweet death one last caress well got something say killed baby today matter much long dead sweet lovely death waiting breath come sweet death one last caress one last caress sweet death one last caress sweet death oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh
Volatile|deutschland gotta die eins zwei drei vier wake wake get knee west strike next war still east west money talk money bored sick let burn germany building economy dead body want react strongly tranquilizer know need diversion silent escape harder faster know suffered senseless neverending terror make em nervous make em nervous x3 deutschland gotta die wake wake get spleen west strike next war still east west money talk money know bored sick let burn deutschland bloody wanker tried pull u blow em blow em bloody wanker try pull u gonna smash x4 time right fight
Humorous|della dealer dog named jake cat named kalamazoo left city pick truck gonna make dream come true yea rolled west wild sun set coyote bay moon della dealer dog named jake cat named kalamazoo chorus cat could talk tale tell della dealer dog well cat cool never said mumblin word tucson way small cafe play little cowboy tune guitar picker friend mine name randy boone yea randy played sweet love song della got fire eye dealer knife dog gun cat shot rye chorus yea dealer killer evil mean jealous fire eye snorted coke century note swore boone would die stage set light went death tucson town two shadow ran bar back door one stayed ground chorus two shadow ran bar night dog cat ran tire got hot pick truck road flew della lover dog named jake cat named kalamazoo left tucson pick truck gonna make dream come true chorus
Wry|never known girl like like song day yore come knockin knockin door never met girl like gave taste want hand bleeding knee raw cause got crawlin crawlin floor never known girl like made acknowledge devil hope god talkin metaphorically hope talkin allegorically know talkin way feel never known girl like never never never never never known girl like old town changed much feel like belong many protest singer enough protest song come along yes come along never met girl like
Campy|everybody move prove groove heard news fascist groove thang evil men racist view spreading across land sit as unlock funky chaindance brother sister shoot best need fascist groove thang brother sister need fascist groove thang history repeat crisis point near hour counterforce good hot as feel power hitler prof funky stuff girl europe unhappy land fascist groove thang brother sister need fascist groove thang democrat power across great wide ocean reagan president elect fascist god motion general tell stop good time dancing train gun fascist thang advancing brother sister need fascist groove thang sister brother lend hand increase population grab groove thang throat throw ocean real tonight move soul let cruise dance war come house dance dance shake fascist groove thang shake
Intense|mother never wanted want got tell goodbye goodbye father left never left needed need got tell goodbye goodbye child done walk tried run got tell goodbye goodbye mama go daddy come home mama go daddy come home mama go daddy come home mama go daddy come home mama go daddy come home mama go daddy come home mama go daddy come home
Silly|movin country gonna eat lot peach movin country gonna eat lot peach movin country gonna eat lot peach movin country gonna eat lot peach peach come put man factory downtown little way eat peach every day sun soakin bulge shade take little nap root twist squished rotten peach fist dreamed woman poked finger inside make little room hide nature candy hand pie million peach peach million peach peach free look
Amiable-good natured|deep within heart lie melody song old san antone dream live memory beneath star alone enchantment strange moon moonlit pas would know still hears broken song love moon splendor known heart call back rose rose san antone lip sweet tender like petal falling apart speak love broken song empty word know still live heart alone moonlit path alamo rose rose san antone break repeat verse 3 tag twice
Amiable-good natured|come guy walking street look walk dancing beat thick wavy hair little long day long singing song see street heart take leap skip beat gonna walk right give great big kiss tell love tell care tell always spoken well color eye know always wearing shade tall well got look yeah well hear bad mm good bad evil tell tell big bulky sweater match eye dirty fingernail oh boy prize tight tapered pant high button shoe always looking like got blue see street heart take leap skip beat gonna walk right give great big kiss tell love tell care tell always
Brooding|come sail ship around burn bridge make little history baby every time come around come loose dog upon let hair hang little mystery every time come around talk night long define moral ground crawl arm everything come tumbling come sail ship around burn bridge make little history baby every time come around face fallen sad know time nigh must remove wing must try fly come sail ship around burn bridge make little history baby every time come around come loose dog upon let hair hang little mystery every time come around
Wistful|sometimes wonder spend lonely night dreaming song melody haunt reverie love new kiss inspiration long ago consolation stardust song beside garden wall star bright arm nightingale tell fairy tale paradise rose grew though dream vain heart remain stardust melody memory love refrain
Cheerful|wake little susie wake wake little susie wake sound asleep wake little susie weep movie four clock trouble deep wake little susie wake little susie well whatta gonna tell mama whatta gonna tell pa whatta gonna tell friend say ooh la la wake little susie wake little susie well told mama ten well susie baby look like goofed wake little susie wake little susie gotta go home wake little susie wake wake little susie wake movie hot much plot fell asleep goose cooked reputation shot wake little susie wake little susie well whatta gonna tell mama whatta gonna tell pa whatta gonna tell friend say ooh la la wake little susie wake little susie wake little susie
Cheerful|new york new york everything say place rather else half million thing quarter three play music ooh modern music like lot style still old back beat rhythm really drive wild chorus say heart rock roll still beating seen believe em old boy may barely breathing heart rock roll still beating l hollywood sunset strip something everyone see neon light pretty pretty girl dressed scantily play music hard rock music like lot flash still old back beat rhythm really kick em chorus c san antone liberty town boston baton rouge tulsa austin oklahoma city seattle san francisco everywhere music real live music band million style still old rock roll music really drive em wild chorus cleveland detroit heart rock roll
Sweet|moon tonight whoa oh oh ooh let go strollin girl heart whoa oh oh ooh whose heart stolen moon tonight whoa oh oh ooh let go strollin park ooh ooh ooh ooh glow heart whoa oh oh ooh never felt girl side whoa oh oh ooh adore glow heart never felt ooh ooh ooh ooh oh darlin longin life whoa uh oh baby never felt way guess moon tonight glow heart whoa oh oh ooh never felt girl side whoa oh oh ooh adore glow heart guess moon tonight moon tonight moon tonight moon tonight moon tonight
Intense|said release remote control want label said fly amsterdam people laughed press went mad ooh ooh ooh someone really smart ooh ooh ooh complete control laugh last tour mate get open back door get run every hotel met law come party come make sure ooh ooh ooh done something wrong ooh ooh ooh complete control even song said artistically free signed bit paper meant let make lotsa mon ee worry later ooh ooh ooh never understand ooh ooh ooh complete control lemme see hand news spread fast dirty filthy gonna last joe public speaking controlled body controlled mind total see n control mean
Fiery|need coolin baby foolin gonna send back schoolin way inside honey need gonna give love gonna give love chorus wanna whole lotta love x4 learnin baby bean learnin good time baby baby yearnin way way inside honey need gonna give love gonna give love chorus coolin baby droolin good time misusin way way inside gonna give love gonna give every inch love gonna give love chorus way inside woman need love shake girl wanna backdoor man keep coolin baby
Intense|stand figure black point turn around quick start run find chosen one oh big black shape eye fire telling people desire satan sitting smiling watch flame get higher higher oh please god help end friend satan coming round bend people running cause scared people better go beware please
Autumnal|asked knew true love true course replied something inside cannot denied said someday find love blind heart fire must realize smoke get eye chaffed gaily laughed think could doubt love yet today love flown away without love laughing friend deride tear cannot hide smile say lovely flame dy smoke get eye laughing friend deride tear cannot hide smile say lovely flame dy smoke get eye
Silly|someone live without someone shove chorus yoko ono follow wherever go yoko ono beautiful see two people much love barenaked two virgin hand hand hand hand glove far away seem pain hanging ankle like kind ball chain chorus oh go life one big pun oh go yoko sings aieee know say may stepping pin needle like people slagging breaking beatles blame yokey john yoko would gladly give musical genius personal venus hit chorus
Humorous|pappy said son gonna drive drinkin stop drivin hot rod lincoln heard story hot rod race ford n lincoln settin pace story true say drivin model got lincoln motor really souped model body make look like pup got eight cylinder us em got overdrive stall four barrel carb dual exhaust 4 11 gear really get lost got safety tube scared brake good tire fair pulled outta san pedro late one night moon n star shinin bright drivin grapevine hill passin car like standin still sudden wink eye cadillac sedan passed u said boy mark tailight could see fella ribbed bein behind thought make lincoln unwind took foot gas n man alive shoved overdrive wound hunderd ten speedometer said hit top end foot glued like lead floor boy thought lost sense telephone pole looked like picket fence said slow see spot line road looked like dot took corner n side swiped truck crossed finger luck fender clickin guardrail post guy beside white ghost smoke comin outta back started gain cacillac knew could catch thought could pas tcha low gas flame comin outta side could feel tension man whatta ride said look boy got license fly caddy pulled let u sudden started knockin dip started rock looked mirror red light blinkin cop hot rod lincoln arrested n put jail n called pappy throw bail n said son gonna drive ta drinkin stop drivin hot rod lincoln
Wry|mile half bus take long time odor old prison food take long time pas inside day upon day wandering get nobody give chance dollar old town hovering silence giveaway squalor smoke style like place better go compare note older sister lazy get pure cold driven snow accepts confession learn time solitary cell mind noise distraction anything good old prison food colour life chaos trouble cause anything better posh isolation 1 missed bus laid back boy arab strap boy arab strap something speak way feeling crowd assembled ever feel gone far everyone suffers silence burden man drive minicab old compton asian man love hate affair racist clientele central location must stagger making free lewd lascivious boast know soft cause seen dancing know hard cause saw drinking noon noon boy filthy laugh boy arab strap strapped table suit shelter shop comic celebrity take back seat cigarette catch set smoke alarm make cool set london constantly updating hit parade ten biggest wank waitress got style sunday bath time could take
Fiery|japanese fast food drop japanese lover go beach day pretty unfaithful pretty unfaithful looking like got sun blistered lip got kiss day lit like everyone uh oh uh oh uh oh uh oh bone got little machine bone machine talking preachy preach kissy kiss buy soda buy soda try molest parking lot eh eh make break make hard irish skin look mexican love rice bean horse lard bone got little machine bone machine uh oh uh oh uh oh uh oh 3x uh oh uh oh uh oh uh oh
Passionate|library gave u power work came made u free price shallow piece dignity wish bottle right dirty face wear scar show came talk love want get drunk allowed spend told end design life design life design life design life wish bottle right pretty face wear scar show came talk love want get drunk allowed spend told end design life design life design life design life talk love want get drunk allowed spend told end design life design life design life design
Autumnal|ahhhhhhhhhhhhhhhhhhhhhhhh stay yes know know hate go goodbye love sweet kind never mean cry little cause love die little cause go away see feel say love unreal goodbye sweet even though incomplete cry little cause love die little cause go away instrumental interlude every night still hear oh sigh near gone gone away heard say cry little cause love die little cause go away ahhhhhhhhhhhhhhhhhhhhhhhhh
Amiable-good natured|ah said love girl ruby name hear talkin girl love love er say whoa oh oh oh oh ruby ruby want ya like ghost gonna haunt ya ruby ruby ruby mine sometime ah time see baby heart cry ah ruby tell ya gonna steal away guy wise whoa oh oh oh oh happy day met ya made bet goin get ya ruby ruby ruby mine hear talkin time hey hey ruby ruby ruby baby hey hey ruby ruby ruby baby hey hey ruby ruby ruby baby hey hey ruby ruby ruby baby come hey hey oh oh oh oh gonna get ya hey hey ruby ruby ruby baby well tell ya love girl said ruby name believe girl look set soul aflame doncha know whoa oh oh oh oh got hug kiss yeah gonna give listen ruby ruby mine gonna get sometime ruby hey hey ruby ruby ruby baby hey hey ruby ruby ruby baby hey hey ruby ruby ruby baby hey hey ruby ruby ruby baby hey hey oh oh oh oh ah listen listen listen ruby ruby ruby ruby mine ah time everybody fade
